id,establecimiento,tipo,calle,altura,piso_dpto,cruce,barrio_localidad,ciudad,partido_comuna,provincia_region,pais,aprobado,observacion,formattedaddress,latitude,longitude,habilitado,confidence,condones,prueba,vacunatorio,ile,infectologia,ssr,es_rapido,tel_distrib,mail_distrib,horario_distrib,responsable_distrib,web_distrib,ubicacion_distrib,comentarios_distrib,tel_testeo,mail_testeo,horario_testeo,responsable_testeo,web_testeo,ubicacion_testeo,observaciones_testeo,tel_vac,mail_vac,horario_vac,responsable_vac,web_vac,ubicacion_vac,comentarios_vac,tel_ile,mail_ile,horario_ile,responsable_ile,web_ile,ubicacion_ile,comentarios_ile,tel_infectologia,mail_infectologia,horario_infectologia,responsable_infectologia,web_infectologia,ubicacion_infectologia,comentarios_infectologia,tel_ssr,mail_ssr,horario_ssr,responsable_ssr,web_ssr,ubicacion_ssr,comentarios_ssr,servicetype_condones,servicetype_prueba,servicetype_mac,servicetype_ile,servicetype_dc,servicetype_ssr,friendly_condones,friendly_prueba,friendly_mac,friendly_ile,friendly_dc,friendly_ssr,uploader_name,uploader_email,uploader_tel
106282,"Atta Mar Del Plata",,"Santiago Del Estero",1356,,,"Mar Del Plata","Mar Del Plata","General Pueyrredón","Buenos Aires",Argentina,1,,,-37.9971568,-57.54363089999999,,0.9,SI,NO,NO,NO,NO,NO,NO,,danielavirginiamacchiavello@yahoo.com.ar,,"Referente: Daniela Virginia Macchiavello",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106292,"Bar Central",,Irigoyen,"sin número",,"Presidente Perón",Rojas,Rojas,Rojas,"Buenos Aires",Argentina,1,,,-34.197698,-60.7338035,,0.5,SI,NO,NO,NO,NO,NO,NO,"(02474) 15-471748",,"De 7 a 3 hs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106302,"Barrio Bicentenario",,,"sin número",,,,"General Pueyrredón","General Rodríguez","Buenos Aires",Argentina,1,,,-34.6020889,-58.9521294,,0.5,SI,NO,NO,NO,NO,NO,NO,,,"De 08:00 a 17:00 hs.","Referente: Marcela Calabrese",,,"Sala de Enfermería.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106312,"Barrio Namuncura Sum",,"Arrollo Sarandi","sin número",,Morse,Avellaneda,Avellaneda,Avellaneda,"Buenos Aires",Argentina,1,,,-34.6832581,-58.3439941,,0.5,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106502,"Biblioteca Municipal Domingo Faustino Sarmiento""",,"Almirante Brown",763,,,,Morón,Morón,"Buenos Aires",Argentina,1,,,-34.650422,-58.61952,1,1,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,"(011) 4483-2142",,,,,"Ubicación: Biblioteca",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106512,"Boliche Bailable",,"Av. San Martín",590,,,Oriente,Oriente,"Coronel Dorrego","Buenos Aires",Argentina,1,,,-38.7420571,-60.60779719999999,,0.7,SI,NO,NO,NO,NO,NO,NO,"02983 495287",,"Viernes, sábados y domingos de 01 a 6hs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106522,"Boliche Bailable Le Park",,Colón,"sin número",,,"Punta Alta","Punta Alta","Coronel Rosales","Buenos Aires",Argentina,1,,,-38.8760605,-62.07408900000001,,0.5,SI,NO,NO,NO,NO,NO,NO,,,Nocturno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106532,"Boliche Bailable Roka Disco",,Freyre,"sin número",,Cifone,Guaminí,Guaminí,Guaminí,"Buenos Aires",Argentina,1,,,-37.012608,-62.41847109999999,,0.5,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106542,"Boliche Rubik",,"Benito De Miguel",663,,,Junín,Junín,Junín,"Buenos Aires",Argentina,1,,,-34.59939,-60.959289,,0.9,SI,NO,NO,NO,NO,NO,NO,"02362 15529685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106552,"Brown Noche",,,"sin número",,,"Almirante Brown","Almirante Brown","Almirante Brown","Buenos Aires",Argentina,1,,,-34.8281517,-58.38654709999999,,0.5,SI,NO,NO,NO,NO,NO,NO,,vanguardiavi@hotmail.com,,,,,"Prevencion, Distribucion de folleteria y material",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106562,"Buscando Un Lugar",,Toledo,"sin número",,Barker,"Barrio Santa Paula","Barrio Santa Paula",Moreno,"Buenos Aires",Argentina,1,,,-36.5026929,-61.0254537,,0.5,SI,NO,NO,NO,NO,NO,NO,,,"Viernes por la tarde","Referente: Emilse Guzmán",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106612,"Cabaña Joven",,"21 De Enero",301,,,,Pergamino,Pergamino,"Buenos Aires",Argentina,1,,,-33.8912831,-60.5745999,,0.5,SI,NO,NO,NO,NO,NO,NO,"(02477) 440804",,"Lunes a viernes de 8 a 17hs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106632,"C.A.P.S.  15",,"Ingeniero Pereyra",3484,,Rucci,"Ciudadela Sur","Ciudadela Sur","Tres De Febrero","Buenos Aires",Argentina,1,,,-34.6327962,-58.5435804,,0.5,SI,NO,NO,NO,NO,NO,NO,,,"Lunes a Viernes de 09:00 a 14:00 hs.","Mesa De Entradas. Referente: Rocío Rodríguez (adm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106652,"C.A.P.S.  2 De Abril",,"La Trilla","sin número",,Ciudadela,"Barrio ÑAndú/villa Tesei","Barrio ÑAndú/villa Tesei",Hurlingham,"Buenos Aires",Argentina,1,,,-34.6197923,-58.63921500000001,,0.5,SI,NO,NO,NO,NO,NO,NO,"(011) 15 37020898",,"Lunes a Viernes de 8:00 a 14:00 hs.","Responsable Del Dispenser: José Luis- Administrativo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106662,"C.A.P.S.  2 Pedro Luro",,"Calle 12","sin número",,"Calle 25","Pedro Luro","Pedro Luro",Villarino,"Buenos Aires",Argentina,1,,,-39.4502724,-62.6761253,,0.5,SI,NO,NO,NO,NO,NO,NO,02928-491055,,"8 a 16 hs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106672,"C.A.P.S.  25 De Mayo",,"Pastor Naranjo",898,,,"San Nicolás","San Nicolás","San Nicolás","Buenos Aires",Argentina,1,,,-33.3160624534,-60.2433490195,,1,SI,NO,NO,NO,NO,NO,NO,"(03461) 15-405077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106682,"C.A.P.S.  3 Médanos",,"Martín Fierro","sin número",,Rivadavia,Médanos,Médanos,Villarino,"Buenos Aires",Argentina,1,,,-38.8283463,-62.6936417,,0.5,SI,NO,NO,NO,NO,NO,NO,,,"7HS. A 14 HS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106702,"C.A.P.S.  4 Mayor Buratovich",,"Calle 30","sin número",,"Calle 7","Mayor Buratovich","Mayor Buratovich",Villarino,"Buenos Aires",Argentina,1,,,-39.2592545,-62.6145058,,0.5,SI,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106732,"C.A.P.S.  9 De Julio",,"Del Pozo","sin número",,Jujuy,"San Nicolás","San Nicolás","San Nicolás","Buenos Aires",Argentina,1,,,-33.3855203,-60.22191179999999,,0.7,SI,NO,NO,NO,NO,NO,NO,"(03461) 15-405095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106742,"C.A.P.S.  Altos De La Reja",,Pilcomayo,,,"Benito Juarez","La Reja","La Reja",Moreno,"Buenos Aires",Argentina,1,,,-34.6605554,-58.8419603,,0.7,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Oñate Muñoz Isabel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106762,"C.A.P.S.  Barrio Belgrano De Miramar",,"Calle 43",,,"Calle 50 Barrio Belgrano",Miramar,Miramar,"General Alvarado","Buenos Aires",Argentina,1,,,-38.2703168,-57.8394498,,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Sin Dato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106772,"C.A.P.S.  Barrio Ing. Pablo Marin",,"Calle 12",129,,,Navarro,Navarro,Navarro,"Buenos Aires",Argentina,1,,,-35.0125453,-59.2771923,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Griselda Killian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106782,"C.A.P.S.  Barrio Oeste De Miramar",,"Calle 55",1261,,"Av. 26 Barrio Oeste",Miramar,Miramar,"General Alvarado","Buenos Aires",Argentina,1,,,-38.2816651,-57.85282480000001,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Sin Dato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106842,"C.A.P.S.  Carupa",,"Ruperto Mazza",1154,,,Tigre,Tigre,Tigre,"Buenos Aires",Argentina,1,,,-34.4363492,-58.5752181,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,011-45124513,capscarupa@tigre.gov.ar,,"Dr. Miguel Angel Russo, M.P. N° 45.707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106862,"C.A.P.S.  Conesa",,Rivadavia,"sin número",,Formosa,"San Nicolás","San Nicolás","San Nicolás","Buenos Aires",Argentina,1,,,-34.6045547,-58.3802473,,0.5,SI,NO,NO,NO,NO,NO,NO,"(03461) 49-2041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106882,"C.A.P.S.  Del Centro",,"Calle 32",1440,,,Miramar,Miramar,"General Alvarado","Buenos Aires",Argentina,1,,,-38.27010569999999,-57.8443957,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Sin Dato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106922,"C.A.P.S.  Dra Mabel Santiago",,"San Martín",3151,,,Saladillo,Saladillo,Saladillo,"Buenos Aires",Argentina,1,,,-35.6392344,-59.7789367,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,2344453030,,,"Dr Zalazar Nestor Edgardo Mp 18.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
106982,"C.A.P.S.  La Cumparsita",,Sarmiento,1626,,,"Capitán Sarmiento","Capitán Sarmiento","Capitán Sarmiento","Buenos Aires",Argentina,1,,,-34.1700117,-59.7881954,,0.7,SI,NO,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107002,"C.A.P.S. La Loma",,"La Plata",,,"San Nicolas","Capitán Sarmiento","Capitán Sarmiento","Capitán Sarmiento","Buenos Aires",Argentina,1,,,-34.1711872,-59.7936926,,0.5,SI,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,02478-483479,,,"Dr. Walter Daniel Pavicich, M.P. N° 63.786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107012,"C.A.P.S.  La Luisa",,"Cabo O. Fregotte","sin número",,,"La Luisa","La Luisa","Capitán Sarmiento","Buenos Aires",Argentina,1,,,-34.12757819999999,-59.92722329999999,,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,02478-450906,,,"Dr. Adolfo Hipólito Zapata, M.P. N° 61.289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107042,"C.A.P.S.  Los Cachorros",,"Las Margaritas",1156,,,,Ensenada,Pilar,"Buenos Aires",Argentina,1,,,-38.0824889,-57.56735029999999,,0.7,SI,NO,NO,NO,NO,NO,NO,02320-472100,,"24 hs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107062,"C.A.P.S.  Los Pozos",,Necochea,"sin número",,"Luzuriaga Urbinea",Cañuelas,Cañuelas,Cañuelas,"Buenos Aires",Argentina,1,,,-35.04914249999999,-58.75950530000001,,0.5,NO,SI,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107072,"C.A.P.S.  M. Alberti",,Pailette,"sin número",Pilar,"Santa Rita",,Pilar,Pilar,"Buenos Aires",Argentina,1,,,-34.458529,-58.777492,,0.5,SI,NO,NO,NO,NO,NO,NO,02320-474400/474140,,"24 hs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107092,"C.A.P.S.  Martinez",,"Saenz Valiente",2110,,,Martínez,Martínez,"San Isidro","Buenos Aires",Argentina,1,,,-34.4965007,-58.52636459999999,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,011-45803125,,,"Sin Dato (pendiente De Resolución)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107102,"C.A.P.S.  Máximo Paz",,"Calle Belgrano","sin número",,"Colectora Ruta 205",Cañuelas,Cañuelas,Cañuelas,"Buenos Aires",Argentina,1,,,-35.0533783,-58.7578422,,0.7,NO,SI,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107172,"C.A.P.S.  N° 17",,"De Marco",101,,Coltelli,Campana,Campana,Campana,"Buenos Aires",Argentina,1,,,-34.1633346,-58.95926429999999,,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(03489) 444367",,,"Dra. María Cecilia Bernatzky, M.P. N° 55.671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107192,"C.A.P.S.  N° 20 Barrio Sarmiento",,Liniers,78,,,Campana,Campana,Campana,"Buenos Aires",Argentina,1,,,-34.1794603,-58.944585,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,03489-437553,,,"Dra. María Cecilia Bernatzky, M.P. N° 55.671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107202,"C.A.P.S.  N° 21 Albizola",,"Mateo Blanco",230,,,Campana,Campana,Campana,"Buenos Aires",Argentina,1,,,-34.1633346,-58.95926429999999,,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,03489-447490,,,"Dra. María De Las Mercedes, M.P. N° 17.522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107212,"C.A.P.S.  N° 25 Barrio 9 De Julio De Campana (ex C",,Maipu,735,,,Campana,Campana,Campana,"Buenos Aires",Argentina,1,,,-34.1841077,-58.95959049999999,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,03489-437550,,,"Sin Dato (pendiente De Resolución)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107242,"C.A.P.S.  N° 5",,Aguiar,162,,,Campana,Campana,Campana,"Buenos Aires",Argentina,1,,,-34.2062535,-58.93985259999999,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,03489-440050,,,"Dra. María Cecilia Bernatzky, M.P. N° 55.671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107282,"C.A.P.S.  N° 8 Islas",,"Canal Alem",,,"Rio Carabelas",Campana,Campana,Campana,"Buenos Aires",Argentina,1,,,-34.1633346,-58.95926429999999,,0.5,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,03489-15455749,,,"Dr. Antonio Roberto Simioli, M.P. N° 34.180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107322,"C.A.P.S.  Nº 1 La Argentina",,"Sargento Cabral",,,"E. Del Campo Barrio Las Malvinas","General Rodríguez","General Rodríguez","General Rodríguez","Buenos Aires",Argentina,1,,,-34.5986671,-58.93630899999999,,0.7,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"0237-4840022 (RADIO)",,,"Sin Dato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107332,"C.A.P.S.  Nº 21 Presidente Peron",,Marconi,,,"José Hernández",Claypole,Claypole,"Almirante Brown","Buenos Aires",Argentina,1,,,-34.8169679,-58.3660322,,0.7,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(011) 4236-8569",,,"Dr. Pablo Omar Herrera, M.P. N° 111.751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107342,"C.A.P.S.  Pinazo",,Copello,7837,Pilar,"Santa Cecilia",,Pilar,Pilar,"Buenos Aires",Argentina,1,,,-34.4520325,-58.8134881,,0.5,SI,NO,NO,NO,NO,NO,NO,02320-401012,,"24 hs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107352,"C.A.P.S. Ramón Carrillo",,Santamarina,1853,,,Laprida,Laprida,Laprida,"Buenos Aires",Argentina,1,,,-37.5441082,-60.8020965,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,administracionhospital@laprida.net,,"Dra. María Jesús Pelaez, M.P. N° 113.652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107382,"C.A.P.S.  San Cayetano",,"La Pampa",,,Circunvalación,"Capitán Sarmiento","Capitán Sarmiento","Capitán Sarmiento","Buenos Aires",Argentina,1,,,-34.1801819,-59.78798849999999,,0.7,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Dr. Jorge Luis Senfet, M.P. N° 26.344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107392,"C.A.P.S.  San Donato",,Alvear,838,,,Chivilcoy,Chivilcoy,Chivilcoy,"Buenos Aires",Argentina,1,,,-34.9062845,-60.0035061,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Jaime Carmen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107412,"C.A.P.S. Santa Rosa",,"San Martín",63,,,Cañuelas,Cañuelas,Cañuelas,"Buenos Aires",Argentina,1,,,-35.0590574,-58.76601849999999,,0.9,NO,SI,NO,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107422,"C.A.P.S.  Santa Teresa",,Belice,"sin número",,Checoslovaquia,,,,"Buenos Aires",Argentina,1,,,-34.4147006,-58.77592370000001,,0.7,SI,NO,NO,NO,NO,NO,NO,,,"24 hs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107442,"C.A.P.S.  Unidad Sanitaria San Martin De Porres","Centro de Salud Público",Pellegrini,1940,,,Zárate,Zárate,Zárate,"Buenos Aires",Argentina,1,,,-34.1088303,-59.0292854,1,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(03487) 427663",,,"Odontologa Piccirilli, Maria Elena Mp 50451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107452,"C.A.P.S.  Venerable Madre De San Jose Barrio Camil",,"Gral. Las Heras",956,,,Muñiz,Muñiz,"San Miguel","Buenos Aires",Argentina,1,,,-34.5452141,-58.70320950000001,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,,,,"Olga Casal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
107462,"C.A.P.S.  Villa Adelina",,"Av. De Mayo",1397,,,"Villa Adelina","Villa Adelina","San Isidro","Buenos Aires",Argentina,1,,,-34.5212863,-58.5450004,,0.9,NO,NO,SI,NO,NO,NO,NO,,,,,,,,,,,,,,,"(011) 4513-7823",,,"Sin Dato (pendiente De Resolución)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,NO,NO,NO,NO,,,
